query,intent
What is PM Kisan?,scheme_search
Can you explain the Ayushman Bharat scheme?,scheme_search
Tell me about PM Awas Yojana.,scheme_search
I heard about Ujjwala Yojana. What does it do?,scheme_search
Give me details about Skill India.,scheme_search
What is National Scholarship?,scheme_search
Can you explain the Atal Pension Yojana scheme?,scheme_search
Tell me about Jan Dhan Yojana.,scheme_search
I heard about PM Kisan. What does it do?,scheme_search
Give me details about Ayushman Bharat.,scheme_search
What is PM Awas Yojana?,scheme_search
Can you explain the Ujjwala Yojana scheme?,scheme_search
Tell me about Skill India.,scheme_search
I heard about National Scholarship. What does it do?,scheme_search
Give me details about Atal Pension Yojana.,scheme_search
What is Jan Dhan Yojana?,scheme_search
Can you explain the PM Kisan scheme?,scheme_search
Tell me about Ayushman Bharat.,scheme_search
I heard about PM Awas Yojana. What does it do?,scheme_search
Give me details about Ujjwala Yojana.,scheme_search
What is Skill India?,scheme_search
Can you explain the National Scholarship scheme?,scheme_search
Tell me about Atal Pension Yojana.,scheme_search
I heard about Jan Dhan Yojana. What does it do?,scheme_search
Give me details about PM Kisan.,scheme_search
What is Ayushman Bharat?,scheme_search
Can you explain the PM Awas Yojana scheme?,scheme_search
Tell me about Ujjwala Yojana.,scheme_search
I heard about Skill India. What does it do?,scheme_search
Give me details about National Scholarship.,scheme_search
What is Atal Pension Yojana?,scheme_search
Can you explain the Jan Dhan Yojana scheme?,scheme_search
Tell me about PM Kisan.,scheme_search
I heard about Ayushman Bharat. What does it do?,scheme_search
Give me details about PM Awas Yojana.,scheme_search
What is Ujjwala Yojana?,scheme_search
Can you explain the Skill India scheme?,scheme_search
Tell me about National Scholarship.,scheme_search
I heard about Atal Pension Yojana. What does it do?,scheme_search
Give me details about Jan Dhan Yojana.,scheme_search
Am I eligible for PM Kisan if I am a farmers?,eligibility_query
Who can apply for Ayushman Bharat?,eligibility_query
What are the eligibility criteria for PM Awas Yojana?,eligibility_query
Can a senior citizens benefit from Ujjwala Yojana?,eligibility_query
Do I qualify for Skill India?,eligibility_query
Am I eligible for National Scholarship if I am a small business owners?,eligibility_query
Who can apply for Atal Pension Yojana?,eligibility_query
What are the eligibility criteria for Jan Dhan Yojana?,eligibility_query
Can a farmers benefit from PM Kisan?,eligibility_query
Do I qualify for Ayushman Bharat?,eligibility_query
Am I eligible for PM Awas Yojana if I am a women?,eligibility_query
Who can apply for Ujjwala Yojana?,eligibility_query
What are the eligibility criteria for Skill India?,eligibility_query
Can a small business owners benefit from National Scholarship?,eligibility_query
Do I qualify for Atal Pension Yojana?,eligibility_query
Am I eligible for Jan Dhan Yojana if I am a rural families?,eligibility_query
Who can apply for PM Kisan?,eligibility_query
What are the eligibility criteria for Ayushman Bharat?,eligibility_query
Can a women benefit from PM Awas Yojana?,eligibility_query
Do I qualify for Ujjwala Yojana?,eligibility_query
Am I eligible for Skill India if I am a unemployed youth?,eligibility_query
Who can apply for National Scholarship?,eligibility_query
What are the eligibility criteria for Atal Pension Yojana?,eligibility_query
